The Meadows,19 Mar 22
~
1,"LK'S CRUSHN IT @ NEWHAVEN STUD FINAL",06:35PM,525m,Mixed 6/7 Final
1,EXALTED,N Presutto,4,4,28.6,$3.10F,,0.37,,M/2211,5.14,30.14
2,XINMIN BALE,R Gibbons,1,1,33.3,$3.10F,,0.37,0.37,M/5542,5.28,30.17
3,ROHAN BALE,R Gibbons,5,5,33.5,$7.90,,3.19,2.81,S/7775,5.35,30.36
4,CITY NIGHTS,D Kee,3,3,28.6,$11.40,,4.03,0.84,Q/1123,5.12,30.42
5,DIRT FARMER,T Britton,2,2,33.5,$3.50,,4.71,0.69,M/4456,5.24,30.47
6,INTO THE SHED,D Klemke,8,8,31.9,$59.70,,5.43,0.71,S/3334,5.17,30.52
7,SMOOTH CRUISER,M Carr,7,7,31.5,$59.10,,9.39,3.96,S/6667,5.35,30.80
S,IRINKA GLADYS,M Schmidt,,6,,,,,,,,
S,FERNANDO BELLA,T Salter,,9,,,,,,,,
R,MAJESTIC JAY,M Carr,,10,,,,,,,,
30.14,5.12,3,17.86,4,,
"3.10","1.40","1.30","1.50"
"3.70","5.20","34.10","98.70","","",""
~
2,"SKY RACING (1-3 WINS)",06:57PM,525m,Restricted Win
1,COLLINDA LADY,J Thompson,1,1,27.8,$1.30F,,0.93,,Q/1232,5.17,30.18
2,BEN CHARLIE,M Morrissey,2,2,34.3,$14.80,,0.93,0.93,M/3111,5.17,30.25
3,JIGGLYPUFF,A Dailly,4,4,30.5,$8.30,,1.96,1.03,S/6444,5.32,30.32
4,MAJESTIC JAY,M Carr,3,3,31.8,$40.50,,3.27,1.31,M/2323,5.17,30.41
5,ASTON OSCAR,L Sharp,6,6,32.4,$55.30,,5.43,2.16,S/7665,5.37,30.56
6,WINLOCK CREWE,A Dailly,8,8,34.9,$8.70,,6.04,0.61,S/4556,5.23,30.60
7,MAJESTIC JEWEL,S Elsum,7,7,26.2,$17.30,,7.26,1.21,S/8877,5.39,30.69
8,PANDORICA,D Fisher,5,5,33.6,$95.60,,9.69,2.43,M/5788,5.31,30.86


30.18,5.17,1,17.98,1,,
"1.30","1.04","1.90","1.50"
"6.80","5.80","20.70","102.20","5.40","",""
~
3,"themeadows.org.au",07:17PM,525m,Grade 5
1,LEKTRA RHINO,P Lenehan,1,1,32.5,$2.10F,,1.46,,M/2221,5.17,30.13
2,GEORGE'S FANCY,J Britton,5,5,27.0,$3.80,,1.46,1.46,M/1112,5.13,30.23
3,CORNHILL TIGER,S Gibson,8,8,31.9,$15.70,,3.39,1.93,M/4433,5.24,30.36
4,CHARANGO,W Majoor,2,2,32.7,$15.20,,4.77,1.39,S/8544,5.41,30.46
5,PANDA MICK,J Sharp,4,4,26.1,$4.10,,5.17,0.40,M/6665,5.29,30.49
6,YUSSUF BALE,D Fisher,7,7,35.5,$51.90,,8.04,2.87,M/7876,5.34,30.69
7,ANOTHER VENDETTA,J Thorpe,6,6,32.2,$22.10,,11.99,3.94,M/3357,5.22,30.96
8,REMEMBER PRINCE,S Xerri,3,3,30.6,$44.80,,12.96,0.97,M/5788,5.27,31.03


30.13,5.13,5,17.96,5,,
"2.10","1.60","1.10","2.60"
"4.00","6.20","41.20","143.50","3.20","",""
~
4,"TOPCAT VIDEO",07:38PM,525m,Grade 5
1,HADOUKEN,J Sharp,7,7,32.4,$9.90,,1.06,,M/1222,5.10,30.35
2,ROXY OUZO,A Dailly,8,8,32.0,$21.90,,1.06,1.06,M/3111,5.17,30.42
3,SHANLYN KIM,E Bowles,2,2,25.4,$3.50,,2.03,0.97,M/7553,5.30,30.49
4,CASHTON BALE,D Gibbons,3,3,36.5,$12.70,,2.30,0.27,S/6445,5.29,30.51
5,BARISTA CHICK,R Le Sueur,1,1,28.2,$2.00F,,2.44,0.14,Q/2334,5.12,30.52
6,BIG GORDY,M Lanigan,5,5,33.8,$36.80,,5.17,2.73,M/8666,5.32,30.71
7,FABRIOLA DURAN,A Dailly,6,6,30.0,$10.10,,6.10,0.93,M/4777,5.22,30.78
8,ASTON SUNSET,C Johannsen,4,4,28.0,$20.40,,6.70,0.60,M/5888,5.24,30.82


30.35,5.10,7,18.01,8,,
"9.90","3.10","3.50","1.30"
"39.10","63.70","421.90","2778.50","21.10","",""
~
5,"TAB - LONG MAY WE PLAY",08:03PM,525m,Mixed 4/5
1,SPRING BOLT,L Delbridge,1,1,33.8,$10.20,,5.06,,M/6421,5.26,30.10
