,race_id,dist,place,dog_id,box,split_times,split_margins,run_time
0,422654631,450m,1,250185388,6,6.79,0.04,26.00
1,422654631,450m,2,256198377,3,7.01,0.26,26.06
2,422654631,450m,3,251075794,1,7.02,0.27,26.26
3,422654631,450m,4,219044248,2,6.87,0.12,26.49
4,422654631,450m,5,231578733,7,6.94,0.19,27.09
5,422654631,450m,6,251383268,4,6.75,0.00,28.13
6,422654625,390m,1,179536445,6,8.88,0.15,23.19
7,422654625,390m,2,250185389,1,8.74,0.01,23.22
8,422654625,390m,3,109494053,3,8.74,0.01,23.23
9,422654625,390m,4,222735081,2,8.78,0.05,23.26
10,422654625,390m,5,250185384,7,8.79,0.06,23.31
11,422654625,390m,6,138443840,5,8.74,0.01,23.54
12,422654625,390m,7,254393783,4,8.73,0.00,23.54
13,422654626,390m,1,256198375,1,8.66,0.18,22.50
14,422654626,390m,2,163734337,2,8.69,0.21,22.53
15,422654626,390m,3,1608070005,6,8.48,0.00,22.55
16,422654626,390m,4,264508971,8,8.73,0.25,22.61
17,422654626,390m,5,230317216,3,8.76,0.28,22.73
18,422654626,390m,6,251075249,4,8.78,0.30,23.09
19,422654626,390m,7,208771209,5,8.96,0.48,23.15
20,422654626,390m,8,189163586,7,8.77,0.29,23.19
21,422654627,390m,1,251076280,3,8.74,0.13,22.46
22,422654627,390m,2,253386766,2,8.61,0.00,22.55
23,422654627,390m,3,172047915,6,8.66,0.05,22.64
24,422654627,390m,4,118782594,8,8.81,0.20,22.75
25,422654627,390m,5,141319087,5,8.89,0.28,22.89
26,422654627,390m,6,120321675,1,8.67,0.06,22.92
27,422654627,390m,7,163764378,7,8.81,0.20,22.94
28,422654627,390m,8,129971929,4,8.88,0.27,23.05
29,422654633,450m,1,212745829,4,6.63,0.00,25.20
30,422654633,450m,2,141326859,5,6.81,0.18,25.28
31,422654633,450m,3,254765019,8,6.81,0.18,25.44
32,422654633,450m,4,181942160,2,6.81,0.18,25.84
33,422654633,450m,5,190934632,1,7.07,0.44,25.93
34,422654633,450m,6,2057590009,7,7.02,0.39,26.00
35,422654633,450m,7,167542433,3,6.97,0.34,26.13
36,422654633,450m,8,167542427,6,7.03,0.40,26.17
37,422654630,450m,1,1426150026,8,6.96,0.25,25.96
38,422654630,450m,2,1788280004,6,6.90,0.19,26.07
39,422654630,450m,3,1061980008,3,6.71,0.00,26.16
40,422654630,450m,4,732920000,5,6.83,0.12,26.32
41,422654630,450m,5,1328590007,1,6.87,0.16,26.37
42,422654630,450m,6,1713250022,7,6.90,0.19,26.55
43,422654630,450m,7,1683580003,2,6.99,0.28,26.70
44,422654630,450m,8,1873790013,4,6.82,0.11,26.83
45,422654632,450m,1,202027751,2,6.78,0.16,25.48
46,422654632,450m,2,230053270,1,6.92,0.30,25.69
47,422654632,450m,3,203248203,7,6.62,0.00,25.72
48,422654632,450m,4,230316215,4,6.90,0.28,25.77
49,422654632,450m,5,1524380048,3,6.92,0.30,25.92
50,422654632,450m,6,194835922,8,6.92,0.30,26.08
51,422654632,450m,7,196370982,5,7.03,0.41,26.28
52,422654632,450m,8,118703495,6,6.92,0.30,26.28
53,422654629,450m,1,114215507,1,6.72,0.00,25.78
54,422654629,450m,2,1312340003,8,6.88,0.16,25.83
55,422654629,450m,3,1474730025,6,7.33,0.61,25.93
56,422654629,450m,4,1345260029,3,7.67,0.95,26.33
57,422654629,450m,5,242072192,2,7.28,0.56,26.37
58,422654629,450m,6,1209110027,4,6.77,0.05,26.39
59,422654629,450m,7,2056920062,7,7.32,0.60,26.73
60,422654628,390m,1,224040190,1,8.53,0.00,22.45
61,422654628,390m,2,148672770,6,8.64,0.11,22.54
62,422654628,390m,3,219045251,2,8.76,0.23,22.58
63,422654628,390m,4,177414637,3,8.65,0.12,22.75
64,422654628,390m,5,133785039,4,8.60,0.07,22.77
65,422654628,390m,6,1486670070,5,8.79,0.26,22.87
66,422654628,390m,7,147858662,8,8.69,0.16,22.99
67,422654628,390m,8,167542430,7,8.80,0.27,23.25
68,422654622,390m,1,1524380093,6,8.50,0.00,22.35
69,422654622,390m,2,1281000021,1,8.57,0.07,22.78
70,422654622,390m,3,1897860001,4,8.61,0.11,22.83
71,422654622,390m,4,974830000,7,8.73,0.23,22.95
72,422654622,390m,5,1284200071,2,8.66,0.16,23.02
73,422654622,390m,6,120725509,8,8.62,0.12,23.04
81,422654624,390m,1,887800020,6,8.43,0.00,22.62
82,422654624,390m,2,134562588,4,8.55,0.12,22.70
83,422654624,390m,3,1929950000,8,8.68,0.25,22.85
84,422654624,390m,4,888610002,1,8.92,0.49,23.12
85,422654624,390m,5,1225610023,3,8.99,0.56,23.36
86,422654624,390m,6,1931710015,7,9.03,0.60,24.45
87,537521908,450m,1,386207374,8,7.20,0.61,25.61
88,537521908,450m,2,376876248,5,6.59,0.00,25.63
89,537521908,450m,3,304203712,2,6.85,0.26,25.63
90,537521908,450m,4,329646984,3,6.68,0.09,25.66
91,537521908,450m,5,254764019,7,7.09,0.50,25.97
92,537521908,450m,6,369495021,6,6.87,0.28,25.97
93,537521908,450m,7,308488753,1,7.18,0.59,26.04
94,537521908,450m,8,331308295,4,6.86,0.27,26.25
95,537521903,385m,1,369495016,5,8.28,0.02,21.71
96,537521903,385m,2,312534822,2,8.26,0.00,21.93
